Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,New Food Balances,5000,World,5511,Production,2511,Wheat and products,2014,2014,1000 tonnes,724952,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,5000,World,5511,Production,2511,Wheat and products,2017,2017,1000 tonnes,771775,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,5000,World,5511,Production,2805,Rice and products,2014,2014,1000 tonnes,741547,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,5000,World,5511,Production,2805,Rice and products,2017,2017,1000 tonnes,767558,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,5000,World,5511,Production,2513,Barley and products,2014,2014,1000 tonnes,144312,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,5000,World,5511,Production,2513,Barley and products,2017,2017,1000 tonnes,148111,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,5000,World,5511,Production,2514,Maize and products,2014,2014,1000 tonnes,1036914,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,5000,World,5511,Production,2514,Maize and products,2017,2017,1000 tonnes,1161299,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,5000,World,5511,Production,2515,Rye and products,2014,2014,1000 tonnes,15253,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,5000,World,5511,Production,2515,Rye and products,2017,2017,1000 tonnes,13760,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,5000,World,5511,Production,2516,Oats,2014,2014,1000 tonnes,22827,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,5000,World,5511,Production,2516,Oats,2017,2017,1000 tonnes,26158,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,5000,World,5511,Production,2517,Millet and products,2014,2014,1000 tonnes,28346,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,5000,World,5511,Production,2517,Millet and products,2017,2017,1000 tonnes,28452,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,5000,World,5511,Production,2518,Sorghum and products,2014,2014,1000 tonnes,66982,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,5000,World,5511,Production,2518,Sorghum and products,2017,2017,1000 tonnes,56610,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,5000,World,5511,Production,2520,"Cereals, Other",2014,2014,1000 tonnes,31373,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,5000,World,5511,Production,2520,"Cereals, Other",2017,2017,1000 tonnes,32443,A,"Aggregate, may include official, semi-official, estimated or calculated data"
