Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
"FBS","New Food Balances","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","36296.11"
"FBS","New Food Balances","3","Albania","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","2884.17"
"FBS","New Food Balances","4","Algeria","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","41389.19"
"FBS","New Food Balances","7","Angola","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","29816.77"
"FBS","New Food Balances","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","95.43"
"FBS","New Food Balances","9","Argentina","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","43937.14"
"FBS","New Food Balances","1","Armenia","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","2944.79"
"FBS","New Food Balances","10","Australia","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","24584.62"
"FBS","New Food Balances","11","Austria","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","8819.9"
"FBS","New Food Balances","52","Azerbaijan","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","9845.32"
"FBS","New Food Balances","12","Bahamas","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","381.75"
"FBS","New Food Balances","16","Bangladesh","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","159685.42"
"FBS","New Food Balances","14","Barbados","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","286.23"
"FBS","New Food Balances","57","Belarus","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","9450.23"
"FBS","New Food Balances","255","Belgium","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","11419.75"
"FBS","New Food Balances","23","Belize","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","375.77"
"FBS","New Food Balances","53","Benin","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","11175.2"
"FBS","New Food Balances","19","Bolivia (Plurinational State of)","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","11192.85"
"FBS","New Food Balances","80","Bosnia and Herzegovina","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","3351.53"
"FBS","New Food Balances","20","Botswana","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","2205.08"
"FBS","New Food Balances","21","Brazil","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","207833.82"
"FBS","New Food Balances","27","Bulgaria","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","7102.44"
"FBS","New Food Balances","233","Burkina Faso","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","19193.23"
"FBS","New Food Balances","35","Cabo Verde","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","537.5"
